Substance ID,Name ,CAS ,SMILES,Formula ,FW ,OVERALL ,TA100 ,TA100_S9 ,TA1535 ,TA1535_S9 ,TA97 ,TA97_S9 ,TA1538 ,TA1538_S9 ,TA98 ,TA98_S9 ,TA1537 ,TA1537_S9 ,TA102 ,TA102_S9 ,TA104 ,TA104_S9 ,TA98(NR) ,TA98(NR)_S9 ,TA97A ,TA97A_S9 ,"TA98(1,8-DNP6) ","TA98(1,8-DNP6)_S9 ","TA100(1,8-DNP6) ","TA100(1,8-DNP6)_S9 ",TA100(NR) ,TA100(NR)_S9 ,YG1024 ,YG1024_S9 ,TA2638 ,TA2638_S9 ,YG1029 ,YG1029_S9 ,TA92 ,TA92_S9 ,YG1026 ,YG1026_S9 ,YG1021 ,YG1021_S9 ,TA7004 ,TA7004_S9 ,TA7005 ,TA7005_S9 ,TA1978 ,TA1978_S9 ,TA7002 ,TA7002_S9 ,TA7003 ,TA7003_S9 ,TA7001 ,TA7001_S9 ,TA7006 ,TA7006_S9 ,TM677 ,TM677_S9 ,G46 ,G46_S9 ,YG1020 ,YG1020_S9 ,YG1025 ,YG1025_S9 ,TA94 ,TA94_S9
11," 2,4-DIMETHOXYANILINE HYDROCHLORIDE ",  54150-69-5  ,[Cl-].HC(H)Oc1c(N)ccc(OC(H)H)c1.R,C8H12ClNO2 ,189.6391,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
12, PROFLAVINE HYDROCHLORIDE ,  952-23-8  ,[Cl-].[Cl-].c12c(cc3c(cc(N)cc3)n1)ccc(N)c2.c12c(cc3c(cc(N)cc3)n1)ccc(N)c2.O.R.R,C26H26Cl2N6O ,509.4299,3,1,3,1,1,ND ,ND ,2,3,3,3,3,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,ND ,3,ND ,ND ,ND ,1,ND ,1,ND ,1,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
13, 2-AMINOANTHRACENE ,  613-13-8  ,c12c(cc3c(cc(N)cc3)c1)cccc2,C14H11N ,193.2439,3,1,3,1,3,1,3,1,3,1,3,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,3,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,3,ND ,ND
14, CARBENDAZIM ,  10605-21-7  ,HC(H)OC(=O)NC1=Nc2c(cccc2)N1,C9H9N3O2 ,191.1868,3,1,1,1,1,1,2,1,3,1,2,1,2,1,1,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
15," N,N-DIETHYLNITROSAMINE ",  55-18-5  ,HC(H)C(H)N(C(H)C(H)H)N=O,C4H10N2O ,102.1351,3,1,3,1,3,1,1,ND ,ND ,3,3,ND ,ND ,1,1,ND ,3,1,2,ND ,ND ,1,1,ND ,ND ,ND ,ND ,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
16, COUMAPHOS ,  56-72-4  ,HC(H)C1c2c(cc(OP(=S)(OC(H)C(H)H)OC(H)C(H)H)cc2)OC(=O)C=1Cl,C14H16ClO5PS ,362.7663,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
17, 1-NITROPYRENE ,  5522-43-0  ,c12c3c4c(c(N(=O)=O)ccc4ccc3ccc1)cc2,C16H9NO2 ,247.2482,3,3,2,1,ND ,3,ND ,3,ND ,3,3,3,ND ,1,ND ,1,ND ,3,2,ND ,ND ,3,2,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,3,ND ,ND ,ND ,3,ND ,3,ND ,3,ND ,3,ND ,ND ,ND ,ND ,ND ,3,ND ,3,ND ,ND ,ND
18, 2-ACETYLAMINOFLUORENE ,  53-96-3  ,HC(H)C(=O)Nc1cc2c(-c3c(cccc3)C2H)cc1,C15H13NO ,223.2699,3,1,2,1,1,1,1,1,3,1,3,1,2,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
19, CHROMIUM TRIPICOLINATE ,  14639-25-9  ,C(=O)([O-])c1ccccn1.C(=O)([O-])c1ccccn1.C(=O)([O-])c1ccccn1.[Cr+3],C18H12CrN3O6 ,418.3006,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
20," 1,5-NAPHTHALENEDIAMINE ",  2243-62-1  ,c1(N)c2c(c(N)ccc2)ccc1,C10H10N2 ,158.1999,2,1,2,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
21, 4-CHLORO-M-PHENYLENEDIAMINE ,  5131-60-2  ,c1(Cl)c(N)cc(N)cc1,C6H7ClN2 ,142.586,3,1,3,1,1,ND ,ND ,3,3,3,3,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
22, P-ANISIDINE HYDROCHLORIDE ,  20265-97-8  ,[Cl-].HC(H)Oc1ccc(N)cc1.R,C7H10ClNO ,159.6131,2,1,2,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
23, O-ANISIDINE HYDROCHLORIDE ,  134-29-2  ,[Cl-].HC(H)Oc1c(N)cccc1.R,C7H10ClNO ,159.6131,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
24, OCHRATOXIN A ,  303-47-9  ,HC(H)[C@]1C(H)c2c(C(=O)O1)c(O)c(C(=O)N[C@](C(=O)O)C(H)c1ccccc1)cc2Cl,C20H18ClNO6 ,403.8128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
25, 6-NITROBENZIMIDAZOLE ,  94-52-0  ,c12c(cc(N(=O)=O)cc1)NC=N2,C7H5N3O2 ,163.1336,3,3,3,1,2,ND ,ND ,2,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
26, BENZENE ,  71-43-2  ,c1ccccc1,C6H6 ,78.1118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
27, 2-AMINOFLUORENE ,  153-78-6  ,HC1c2c(-c3c1cc(N)cc3)cccc2,C13H11N ,181.2332,3,1,3,ND ,1,1,3,ND ,3,1,3,3,3,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,2,ND ,ND ,ND ,ND ,1,3,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,3,ND ,ND
28, ANTHRACENE ,  120-12-7  ,c12c(cc3c(cccc3)c1)cccc2,C14H10 ,178.2292,3,1,1,1,1,1,3,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
29," 9,10-ANTHRAQUINONE ",  84-65-1  ,c12C(=O)c3c(C(=O)c1cccc2)cccc3,C14H8O2 ,208.2121,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
30, P-NITROANILINE ,  100-01-6  ,c1(N)ccc(N(=O)=O)cc1,C6H6N2O2 ,138.1241,3,1,1,1,1,1,1,1,1,2,3,1,1,ND ,ND ,ND ,ND ,1,2,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
31, O-TOLUIDINE ,  95-53-4  ,HC(H)c1c(N)cccc1,C7H9N ,107.1531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
32, 2-AMINO-5-NITROTHIAZOLE ,  121-66-4  ,C1(N(=O)=O)=CN=C(N)S1,C3H3N3O2S ,145.1409,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
33, ACRYLONITRILE ,  107-13-1  ,HC=CC#N,C3H3N ,53.0627,3,1,2,1,3,1,1,1,2,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
34, CAPSAICIN ,  404-86-4  ,HC(H)C(C(H)H)C=CC(H)C(H)C(H)C(H)C(=O)NC(H)c1cc(OC(H)H)c(O)cc1,C18H27NO3 ,305.4119,1,1,1,1,1,1,1,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
35," NITRILOTRIACETIC ACID, TRISODIUM SALT MONOHYDRATE ",  18662-53-8  ,HC(C(=O)[O-])N(C(H)C(=O)[O-])C(H)C(=O)[O-].[Na+].[Na+].[Na+].O,C6H8NNa3O7 ,275.0996,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
36, ATRAZINE ,  1912-24-9  ,HC(H)C(H)Nc1nc(Cl)nc(NC(C(H)H)C(H)H)n1,C8H14ClN5 ,215.6832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
37, ACETOHEXAMIDE ,  968-81-0  ,HC(H)C(=O)c1ccc(S(=O)(=O)NC(=O)NC2C(H)C(H)C(H)C(H)C2H)cc1,C15H20N2O4S ,324.3964,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
38," 2,3,5,6-TETRACHLORO-4-NITROANISOLE ",  2438-88-2  ,HC(H)Oc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,C7H3Cl4NO3 ,290.9145,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
39, HYDRAZOBENZENE ,  122-66-7  ,c1(NNc2ccccc2)ccccc1,C12H12N2 ,184.2372,2,1,2,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
40, N-NITROSOPIPERIDINE ,  100-75-4  ,HC1C(H)C(H)C(H)C(H)N1N=O,C5H10N2O ,114.1458,3,1,3,1,3,ND ,ND ,1,1,1,2,1,1,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
41, M-PHENYLENEDIAMINE ,  108-45-2  ,c1(N)cc(N)ccc1,C6H8N2 ,108.1412,3,1,3,1,2,1,3,ND ,3,1,3,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,3,ND ,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
42, ANILINE HYDROCHLORIDE ,  142-04-1  ,[Cl-].c1(N)ccccc1.R,C6H8ClN ,129.5872,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
