Molecule Name,NR-AR,NR-AR-LBD,NR-AhR,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-Aromatase,Smiles,source
NCGC00260916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCS(CCC(C(O)=O)N)(=N)=O,test
NCGC00260906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCS(CC[C@@H](C(O)=O)N)(=N)=O,test
NCGC00261436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCN(CC1)[C@@H](CC2)[C@H]1c1c2ccc(O)c1.Br,test
NCGC00261892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCN(CCC)C(Cc1c2)Cc1cc(OC)c2OC.OC(/C=C\C(O)=O)=O,test
NCGC00261301,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCN(CCC)[C@@H](CC1)Cc2c1ccc(O)c2.Br,test
NCGC00261323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCN(CCC)[C@H](CCc1ccc2)Cc1c2O.Br,test
NCGC00261140,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,CCCN(CCc1cc(O)c2)[C@H](Cc3ccc4O)c1c2-c3c4O.Br,test
NCGC00261120,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,CCCN(CCc1ccc2)[C@H](Cc3ccc4O)c1c2-c3c4O.Cl,test
NCGC00261066,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CCCN(c1c(C(N2CCC)=O)[nH]c(C3CCCC3)n1)C2=O,test
NCGC00261102,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCN(c1c(C(N2CCC)=O)n(C)cn1)C2=O,test
NCGC00261943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCN(c1nc(N)nn1C=C1C)C1=O,test
NCGC00261723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCN1[C@H](COc(cc2)c3cc2O)[C@@H]3OCC1.Cl,test
NCGC00261468,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,CCCc1c(C(OCCC)=O)c(-c2ccccc2)nc(CC)c1C(SCC)=O,test
NCGC00260730,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,CCN(C(C)C)c1nc(N)c(C(N=C(N)N)=O)nc1Cl,test
NCGC00261499,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,,CCOC(C(C1c(c(F)c(c(F)c2F)F)c2F)=C(C)NC(C)=C1C(OCC)=O)=O,test
NCGC00260985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,CCOC(C1(C2C1)Oc(cccc1)c1/C2=N\O)=O,test
NCGC00261300,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,CCOC(N(CC1)CCN1/[N+](/[O-])=N/Oc(ccc([N+]([O-])=O)c1)c1[N+]([O-])=O)=O,test
NCGC00261385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCOC(c(nc1)c([C@H]2N3CCC2)n1-c(ccc(OC)c1)c1C3=O)=O,test
NCGC00260744,0.0,,1.0,0.0,,0.0,1.0,0.0,,0.0,0.0,1.0,CCS(Nc1cc(C(c2cnc[nH]2)=C2CCCCC2)ccc1)(=O)=O,test
NCGC00260930,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,CC[C@@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,test
NCGC00261148,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,1.0,CC[C@H](C1)C(c(cc2)c(C[C@H]3CC)cc2O)=C3c(cc2)c1cc2O,test
NCGC00260701,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,CCc(cc1)nc(N2CC)c1C(c1cccc(Cl)c1)=NC2=O,test
NCGC00260976,0.0,,,,0.0,,,,0.0,,0.0,,CCn1c(nc(N[C@H](CCCC2)[C@H]2N)nc2Nc3cccc(Cl)c3)c2nc1.Cl,test
NCGC00261082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)C(/N=N/C(N(C)C)=O)=O,test
NCGC00261073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)C(NCCC[C@@H](C(O)=O)N)=N.Cl,test
NCGC00260855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,CN(C)CC/C=C1\c(ccc(Cl)c2)c2Sc2c1cccc2.Cl,test
NCGC00261305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,CN(C)CCCc(cc(cc1)C(Nc(cc2)ccc2-c2ccncc2)=O)c1O.Br.Br,test
NCGC00260754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CN(C)CCc1c[nH]c2c1cc(/C=C/C(NCc(cc1)ccc1OC)=O)cc2,test
NCGC00261664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,CN(C)S(c(cc1)cc(/C2=C/c3cc(CCCC4)c4[nH]3)c1NC2=O)(=O)=O,test
NCGC00261194,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,CN(C)c(cc12)ncc2ncnc1Nc(cc1)cc2c1n(Cc1ccccc1)nc2,test
NCGC00261806,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,CN(C)c1ccc(/C=C(/c(cccc2)c2N2)\C2=O)cc1,test
NCGC00260702,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,CN(C)c1nc(N)c(C(N=C(N)N)=O)nc1Cl.Cl,test
NCGC00261017,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,CN(CC1)CCN1c1nc(cc(C(F)(F)F)cc2)c2n2c1ccc2.OC(/C=C\C(O)=O)=O,test
NCGC00260832,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,CN(CC1)c(cc2)c1cc2NC(Nc1cnccc1)=O.Cl,test
NCGC00261445,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,CN(CCC(CC1)(CC2N1CCc1c2oc2c1cccc2)N1C)C1=O.Cl,test
NCGC00261905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,CN(CCc(cc1)cc(OC)c1OC)CCc(cc1)cc(OC)c1OC.Cl,test
NCGC00261741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(CCc1ccc2)CCc1c2Cl.Cl,test
NCGC00260783,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,CN(C[C@@H]1c(cc2)cc(O)c2O)Cc2c1ccs2.Br,test
NCGC00261157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN([C@@H](CCCC1)[C@H]1N1CCCC1)C(Cc(cc1)cc(Cl)c1Cl)=O.CS(O)(=O)=O,test
NCGC00261951,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,CN([C@@H](CCCC1)[C@H]1N1CCCC1)C(Cc(cc1)cc(Cl)c1Cl)=O.Cl,test
NCGC00261421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN([C@H](CCCC1)[C@H]1N1CCCC1)C(Cc(cc1)cc(Cl)c1Cl)=O.OC(C(C(O)=O)O)C(O)=O,test
NCGC00261088,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,CN(c(cc(cc1)O)c1O)N=O,test
NCGC00261556,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CN(c(cc1)cc(O)c1O)N=O,test
NCGC00260820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(c1c(C(N2C)=O)[nH]c(-c(cc3)ccc3S(O)(=O)=O)n1)C2=O,test
NCGC00260699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CN(c1c(C(N2C)=O)[nH]cn1)C2=O.CN(c1c(C(N2C)=O)[nH]cn1)C2=O.NCCN,test
NCGC00261360,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,CNC([C@H](C([C@H]1O)O)O[C@H]1n1c(ncnc2NCc3cccc(I)c3)c2nc1)=O,test
NCGC00261010,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,CNC([C@H]([C@H]([C@H]1O)O)O[C@H]1n1c(nc(nc2NCc(cc3)ccc3I)Cl)c2nc1)=O,test
NCGC00261218,0.0,0.0,,1.0,1.0,0.0,,0.0,0.0,,0.0,,CNC(c1ncc2[nH]c(cccc3)c3c2c1)=O,test
NCGC00261283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,CNCCc1c[nH]c(CCC(c2ccccc2)c2ccccc2)n1.OC(C(O)=O)=O.OC(C(O)=O)=O,test
NCGC00261428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CNCCc1c[nH]c(cc2)c1cc2O.OC(C(O)=O)=O,test
NCGC00261460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN[C@H](CC(O)=O)C(O)=O,test
NCGC00261443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,CNc1c2ncn([C@@H]([C@@H]3O)O[C@H](CO)C3O)c2ncn1,test
NCGC00261084,0.0,,0.0,,0.0,0.0,1.0,,0.0,0.0,,,COC(C(c(cccc1)c1C1=O)=O)=C1OC,test
NCGC00261257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,COC(N(CC1)C[C@H](CN2CCCC2)N1C(Cc(cc1)cc(Cl)c1Cl)=O)=O.OC(/C=C/C(O)=O)=O,test
NCGC00261309,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,COC([C@@H](c1ccccc1)NC(c1cc(-c2ccccc2)nc2ccccc12)=O)=O,test
NCGC00260996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COC([C@H](Cc(cc1)ccc1Cl)N)=O.Cl,test
NCGC00261317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cc(CC(O)=O)cc1)c1O,test
NCGC00261287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cc([C@H](C(O)=O)O)cc1)c1O,test
NCGC00261543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cc([C@H](CN)O)cc1)c1O.Cl,test
NCGC00261311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cc([C@H](CO)O)cc1)c1OS([O-])(=O)=O.[K+],test
NCGC00261227,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,COc(cc(cc1)SC)c1C(N1CCC(Cc2ccccc2)CC1)=O,test
NCGC00260687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cc1)cc2c1[nH]c1c2CCNC1,test
NCGC00261837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cc1)ccc1C(C=C1)=NN(CCCC(O)=O)[C+]1N.[Br-],test
NCGC00261750,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,,,,COc(cc1)ccc1NC(/C=C/c(cc1)ccc1Cl)=O,test
NCGC00261688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(ccc(C(NCc1cnccc1)=O)c1)c1C(NCc1cnccc1)=O,test
NCGC00261561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cccc1)c1N1CCN(CCCCN(C(c2c3cccc2)=O)C3=O)CC1.Br,test
NCGC00260891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc(cccc1)c1N1CCN(CCN(C(CC2(CCCC2)C2)=O)C2=O)CC1.Cl.Cl,test
NCGC00261547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc1c(CNCCCCCCNCCCCCCCCNCCCCCCNCc(cccc2)c2OC)cccc1.Cl.Cl.Cl.Cl,test
NCGC00261936,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,,1.0,0.0,COc1cc(/C=C(/C(c(cc2)cc(O)c2O)=O)\C#N)cc(I)c1O,test
NCGC00261702,0.0,,1.0,,0.0,0.0,1.0,,0.0,1.0,1.0,,COc1cc(OC)c(/C=C(\c(cccc2)c2N2)/C2=O)c(OC)c1,test
NCGC00261784,0.0,,1.0,0.0,,,1.0,0.0,,,1.0,1.0,COc1ccc(CCCOc(cc(CCn2cncc2)cc2)c2OC)cc1.Cl,test
NCGC00261020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc1cccc(OC)c1OCCNC[C@@H]1Oc(cccc2)c2OC1.Cl,test
NCGC00261482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CS(CC[C@@H](C(O)=O)N)(=N)=O,test
NCGC00260958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CS(O)(=O)=O.Nc1ncnc2c1ncn2C1CCCC1,test
NCGC00261616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,CS(O)(=O)=O.O[C@](C1)(C(Cc2ccc3O)N(CC4CC4)CC4)C44c2c3O[C@H]4c2c1c(cccc1)c1o2,test
NCGC00260778,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CSc1nc(N)c2ncn([C@@H]([C@@H]3O)O[C@H](COP([O-])(OP([O-])([O-])=O)=O)C3O)c2n1.[Na+].[Na+].[Na+],test
NCGC00260887,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,C[C@@H](/C=C/c1cccc(Oc(cc2)ccc2F)c1)N(C(N)=O)O,test
NCGC00261347,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,C[C@@H](C1)NCCN1S(c1cccc2cnccc12)(=O)=O.Cl.Cl,test
NCGC00260849,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,C[C@@H](CCC/C=C/C(C[C@@H](C1)O)[C@@]1(C/C=C1)O)OC1=O,test
NCGC00261344,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,C[C@@H](CN(CC1)c2c1ccc(Br)c2)N.C[C@@H](CN(CC1)c2c1ccc(Br)c2)N.OC(/C=C/C(O)=O)=O,test
NCGC00261508,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C[C@@H](Cc1c[nH]c(cc2)c1cc2O)N.OC(/C=C\C(O)=O)=O,test
NCGC00261931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C[C@@H](Cc1cccc(C(F)(F)F)c1)N.Cl,test
NCGC00261040,0.0,,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,,C[C@@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@H]1O[C@@H](C[C@H]([C@]1(CO)[C@H](C(CC2)[C@@](CC3)([C@](C)(C4)[C@H]3[C@@H](C3)COC3=O)O)C4O)O)C[C@]12O,test
NCGC00261002,0.0,0.0,,,0.0,,1.0,0.0,1.0,1.0,1.0,,C[C@@H]([C@H]([C@H](C)C[C@H]1C)O[C@]11O[C@H](Cc2nc(c(C(O)=O)c(cc3)NC)c3o2)[C@H](C)CC1)C(c1ccc[nH]1)=O,test
NCGC00261883,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,C[C@@H](c1ccccc1)NC(/C(/C#N)=C/c(cc1)cc(O)c1O)=O,test
NCGC00261537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O.[Cl-],test
NCGC00260704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C[C@H](CCC(NCCS([O-])(=O)=O)=O)C(CCC1C(C(C2)C(C)(CC[C@H](C3)O)C3C3)[C@@H]3O)C1(C)[C@H]2O.[Na+],test
NCGC00261303,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,C[C@H](Cc1c[nH]cn1)N.Cl.Cl,test
NCGC00261105,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,C[C@H](OC[C@H]1O[C@H]([C@@H](C2)O)O[C@@H]([C@@H](CO3)[C@@H]([C@@H]4c(cc5OC)cc(OC)c5O)C3=O)c3c4cc4OCOc4c3)O[C@]12O,test
NCGC00261432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C[C@](C(O)=O)(c(cc1)ccc1C(O)=O)N,test
