Structure [idcode]	Molecule Name	Formula	FW	DSSTox_CID	SR-HSE	NR-AR	SR-ARE	NR-Aromatase	NR-ER-LBD	NR-AhR	SR-MMP	NR-ER	NR-PPAR-gamma	SR-p53	SR-ATAD5	NR-AR-LBD	Smiles	
fhiPb@IAapDQ`TTRbaTJSNJuxMAQAUTP@@	NCGC00159533-01	C12H17ClN2O2	256.7286 (220.2676+36.4609)	26090		0		0	0	0	0	0	0	0	0	0	C(C1)NCCN1c1cccc2c1OCCO2.Cl	
dcm@@@UJfUWyYvhJBH@@	NCGC00253765-01	C10H14N2	162.2316	31644	0		0										C(C1)NCCN1c1ccccc1	
fhaQAALZPCDab@zGXgTx@CHhdhbmJrm^BEA@@D@@@	NCGC00255043-01	C12H14Br2N2O	362.0604 (184.2360+79.9045+79.9045+18.0153)	11248	0	0	1	0	0	0	0		0		0	0	C(C1)[n+](cccc2)c2-c2[n+]1cccc2.O.[Br-].[Br-]	
foQ`@@@YHhhheDbKTkF]P@PPD@@@	NCGC00253630-01	C14H13N	195.2597	29374	0		0										C(C1)c(cccc2)c2Nc2c1cccc2	
foQ`@@@YHhhheDbKTkF]P@PPD@@@	NCGC00260382-01	C14H13N	195.2597	29374	0	0	0	0		1		1	0	0	0	0	C(C1)c(cccc2)c2Nc2c1cccc2	
fjmpB@HDxBHPYgyeV]rL]GIVjjB@@B@@@	NCGC00016613-10	C17H20ClN3	301.8138 (265.3529+36.4609)	27762	0		0										C(C1=NCCN1)N(Cc1ccccc1)c1ccccc1.Cl	
fjmpB@HDxBHPYgyeV]rL]GIVjjB@@B@@@	NCGC00016613-01	C17H20ClN3	301.8138 (265.3529+36.4609)	27762		0		0	0	0	0	0	0		0	0	C(C1=NCCN1)N(Cc1ccccc1)c1ccccc1.Cl	
f`iQ@@IJ@eLllmhmFl{uADLUQP@@	NCGC00015196-09	C13H16N2O	216.2789	25131	0		0										C(C1=NCCN1)Oc1c(C2CC2)cccc1	
f`iQ@@IJ@eLllmhmFl{uADLUQP@@	NCGC00015196-04	C13H16N2O	216.2789	25131		0		0	0	0	0	0	0	0	0	0	C(C1=NCCN1)Oc1c(C2CC2)cccc1	
f`iP@@@XRf_e[WEEZ]yjh@@B@@@	NCGC00024349-03	C14H14N2	210.2744	28423		0		0	0	0	0	0	0	0	0	0	C(C1=NCCN1)c1cc2ccccc2cc1	
f`iP@@@XRf_e[WEEZ]yjh@@B@@@	NCGC00183045-01	C14H14N2	210.2744	28423		0		0	0	1	0	0	0	0	0	0	C(C1=NCCN1)c1cc2ccccc2cc1	
fhiPB@HDADHLs|kZdYhw`mU@@@P@@@	NCGC00016506-07	C14H15ClN2	246.7353 (36.4609+210.2744)	25788	0		0										C(C1=NCCN1)c1cc2ccccc2cc1.Cl	
fhiPB@HDADHLs|kZdYhw`mU@@@P@@@	NCGC00094159-01	C14H15ClN2	246.7353 (36.4609+210.2744)	25788		0		0	0	0	0	0	0	0	0	0	C(C1=NCCN1)c1cc2ccccc2cc1.Cl	
dkm@`HHHaAf_eR[SZj@B@@	NCGC00016271-05	C10H13ClN2	196.6766 (160.2157+36.4609)	1718	0		0										C(C1=NCCN1)c1ccccc1.Cl	
dkm@`HHHaAf_eR[SZj@B@@	NCGC00016271-01	C10H13ClN2	196.6766 (160.2157+36.4609)	1718		0		0	0	0	0	0	0	0	0	0	C(C1=NCCN1)c1ccccc1.Cl	
fhypB@H\BBHpJJIQEIQIgIJL{pP@@Jj`h@@	NCGC00247735-02	C13H14ClN3	247.7234 (211.2624+36.4609)	28867	0		0										C(C1CNC2)C2c2c1cc1nccnc1c2.Cl	
fhypB@H\BBHpJJIQEIQIgIJL{pP@@Jj`h@@	NCGC00247735-01	C13H14ClN3	247.7234 (211.2624+36.4609)	28867		0		0	0	0	0	0	0	0	0	0	C(C1CNC2)C2c2c1cc1nccnc1c2.Cl	
fb}`P@M@HEJTzrnrltDRTFJ\uT@EUUTT@@	NCGC00256843-01	C15H19NO4	277.3157	7585	1	0	1			0	0	0		1	1	0	C(C1OC1)N(CC1OC1)c(cc1)ccc1OCC1OC1	
fb}`P@M@HEJTzrnrltDRTFJ\uT@EUUTT@@	NCGC00259428-01	C15H19NO4	277.3157	7585		0	1		0	0	0			1	1	0	C(C1OC1)N(CC1OC1)c(cc1)ccc1OCC1OC1	
eobTB@@BF`CMkldVTTRRbjTRVTRTT`Pt\LlJjvNn^jjBBb`@jjjbJ@@@	NCGC00255935-01	C25H30N2O4	422.5167	22248	1	0	1			0				1	1		C(C1OC1)N(CC1OC1)c1ccc(Cc(cc2)ccc2N(CC2OC2)CC2OC2)cc1	
fde@P@@DlEJ]VUuV`aV`qjjjjjjh@@	NCGC00256014-01	C14H24O4	256.3380	24805	0	0			0	0	0	0		0	0	0	C(C1OC1)OCC1CCC(COCC2OC2)CC1	
ed^PF@@@BAig`Tiue]fYU_UUf`PdTrZjz^~Aajh@J`@@Bjjj`J@@@	NCGC00256272-01	C28H28O6	460.5183	24971	1	0	1		0	0				0			C(C1OC1)Oc1ccc(C(c(cc2)ccc2OCC2OC2)c(cc2)ccc2OCC2OC2)cc1	
fnk@P@@DSUJ]YWVUuZBIJCFkZj@B`@jjB@@	NCGC00259147-01	C19H20O4	312.3597	24872		0	1		0	0	0	0		0		0	C(C1OC1)Oc1ccc(Cc(cc2)ccc2OCC2OC2)cc1	
fnk@P@@DSUJ]YWVUuZBIJCFkZj@B`@jjB@@	NCGC00257258-01	C19H20O4	312.3597	24872		0	1			0	0	0		1	0	0	C(C1OC1)Oc1ccc(Cc(cc2)ccc2OCC2OC2)cc1	
f`i@P@@DTyJ]YV}hHeiwjj@Hjh`@@	NCGC00258222-01	C12H14O4	222.2372	470		0	1		0	0	0			1	0	0	C(C1OC1)Oc1cccc(OCC2OC2)c1	
fcA@`@@JReY]hHHrgIZUjjjjjj@@	NCGC00258049-01	C10H12O2	164.2011	452	0	0	0	0	0	0	0	0	0	0	0	0	C(C1OC11)C2C1C1C3OC3C2C1	
diT@@DjYVnXPbD`@@	NCGC00255989-01	C9H8	116.1598	22052	0	0	0	0	0	1			0	0	0	0	C(C=C1)c2c1cccc2	
det@@DjYUX^fjjj`@	NCGC00257776-01	C10H18	138.2499	4912	0	0		0	0	0	0	0	0	0	0	0	C(CC1)CC2C1CCCC2	
fhy`B@F@BDigkeU|TMypZYjjjjh@@	NCGC00160467-01	C15H23NS	249.4148	26168		0		0	0	0	0	0	0	0	0	0	C(CC1)CCC1(c1cccs1)N1CCCCC1	
dcl@@DjYU_egZjjjh@@	NCGC00255206-01	C12H22	166.3031	1802	0	0	0	0	0	0		0	0	0	0	0	C(CC1)CCC1C1CCCCC1	
fnkPA@B\@DXBDif]YymUrTdYMRmjP`hjjjhh@@	NCGC00255324-01	C19H26N2S2	346.5531	7584	0	0	1		0	1	0	0	0	0	0	0	C(CC1)CCC1N(C1CCCCC1)Sc1nc(cccc2)c2s1	
foAP@@@XReeV]qZlyfjjjjaB`@	NCGC00260545-01	C13H22N2	206.3272	3817	0	0			0	0		1			0	0	C(CC1)CCC1N=[C@]=NC1CCCCC1	
foAP@@@XReeV]qZlyfjjjjaB`@	NCGC00257167-01	C13H22N2	206.3272	3817	0	0		1	0	0	1	0			0	0	C(CC1)CCC1N=[C@]=NC1CCCCC1	
dk^@@@RfYU\]Tzjjjj@@	NCGC00090955-06	C12H23N	181.3177	5018	0		0										C(CC1)CCC1NC1CCCCC1	
dk^@@@RfYU\]Tzjjjj@@	NCGC00259320-01	C12H23N	181.3177	5018	0	0	0	0		0	0		0	0	0		C(CC1)CCC1NC1CCCCC1	
dk^@@@RfYU\]Tzjjjj@@	NCGC00257081-01	C12H23N	181.3177	5018	0	0	0		0	0	0	0	0	0	0	0	C(CC1)CCC1NC1CCCCC1	
fhyPA@B\@DXBDif]WmRTekpZdHHjjH@@	NCGC00259985-01	C13H16N2S2	264.4095	360	1	0	1			1			0	0	0	0	C(CC1)CCC1NSc1nc(cccc2)c2s1	
fhyPA@B\@DXBDif]WmRTekpZdHHjjH@@	NCGC00256366-01	C13H16N2S2	264.4095	360	1	0	1		0	1	1		0	0	0	0	C(CC1)CCC1NSc1nc(cccc2)c2s1	
dg|@P@BHBDiYeUyO[jjjjj@@	NCGC00254435-01	C12H22S2	230.4331	27628	0	0	0	0	0	0	0	0	0	0	0	0	C(CC1)CCC1SSC1CCCCC1	
fheP@@@FrRJIJIXiIdnJt[pZjjjjjjIADSEi@@	NCGC00181124-02	C15H26N2	234.3803	3591	0		0										C(CC1)C[C@H]2N1C[C@H]1[C@H](CCCC3)N3C[C@@H]2C1	
fheP@@@FrRJIJIXiIdnJt[pZjjjjjjIADSEi@@	NCGC00016346-01	C15H26N2	234.3803	3591		0		0	0	0	0	0	0	0	0	0	C(CC1)C[C@H]2N1C[C@H]1[C@H](CCCC3)N3C[C@@H]2C1	
det@@DjYUX^dHbH`@	NCGC00259342-01	C10H12	132.2023	6118	0	0	0	0		0	0		0	0	0		C(CC1)Cc2c1cccc2	
det@@DjYUX^dHbH`@	NCGC00256948-01	C10H12	132.2023	6118	0	0	0	0	0	0		0	0	0	0	0	C(CC1)Cc2c1cccc2	
dcl@@DjUg^aWP`hiJLh@	NCGC00256873-01	C12H14	158.2396	27176	0	0	0	0	0	0	0	0	0	0	0	0	C(CC=CC1)[C@@H]1c1ccccc1	
dmLD@@qJZU]aeZjjj`@	NCGC00254567-01	C9H16O2	156.2221	20735	0	0	0	0	0	0	0	0	0	0	0	0	C(CCO1)CC11OCCCC1	
dg|B@@JSRgUUVaCnjjjjh@@	NCGC00259816-01	C10H18O4	202.2475	4667	0	0	1		0	0	0	0	0		0	0	C(CCOCC1OC1)COCC1OC1	
eolXL@@M@J@die]ue[yfUWphxD|bVnN^hHBjjjh@@@bBAq@@	NCGC00254011-01	C27H29NO3	415.5241	27257	0	0			0	1				0	0	0	C(CN(CCC1)C[C@@H]1OC(c1ccccc1)c1ccccc1)c(cc1)cc2c1OCO2	
fjcPB@NA@DYHhhhddmbheSdkZ]dm@D@PUUPP@@	NCGC00160599-01	C18H20N2S	296.4298	26252		0		0	0			0		0	0	0	C(CN1c(cccc2)c2Sc2c1cccc2)N1CCCC1	
dev@@@Re[TjFZh@H@@	NCGC00257928-01	C9H11N	133.1903	6115	0	0	0	0	0		0	0	0	0	0	0	C(CNC1)c2c1cccc2	
fbyPA@DRADPbDCeYU_e]VSfjBBH@@@@	NCGC00166222-04	C16H22Cl2N2	313.2653 (240.3434+36.4609+36.4609)	26563	0		0										C(CNCc1ccccc1)NCc1ccccc1.Cl.Cl	
fbmPB@LD@DISNkJl{xiXJ\tsTD@@D@@@	NCGC00160438-02	C17H16N2S	280.3873	28621	0												C(CNc1nc(-c2ccccc2)cs1)c1ccccc1	
fbmPB@LD@DISNkJl{xiXJ\tsTD@@D@@@	NCGC00160438-01	C17H16N2S	280.3873	28621		1			0	1		1	0	0	1	0	C(CNc1nc(-c2ccccc2)cs1)c1ccccc1	
dg}DPDp{@H`HRefUWd}njjjjh@@	NCGC00257082-01	C8H16N2O2S2	236.3548	6698		0	0		0	0		0	0	0	0	0	C(COCC1)N1SSN1CCOCC1	
dg}DPDp{@H`HRefUWd}njjjjh@@	NCGC00259324-01	C8H16N2O2S2	236.3548	6698	1	0	0		0	0		0	0	0	0	0	C(COCC1)N1SSN1CCOCC1	
fhyQC@BJB@HpD\BDif]WmRTekpZdHHjjH@@	NCGC00258892-01	C11H12N2OS3	284.4208	6573	1	0	0		0	1	1	0	1	0	0	0	C(COCC1)N1SSc1nc(cccc2)c2s1	
fhyQC@BJB@HpD\BDif]WmRTekpZdHHjjH@@	NCGC00257170-01	C11H12N2OS3	284.4208	6573		0	0		0	1	1	0	0	0	0	0	C(COCC1)N1SSc1nc(cccc2)c2s1	
f`iQA@B\|@HpDISLzsnRdcN}TaAQUD@@	NCGC00042523-03	C11H12N2OS2	252.3558	1096	0		0										C(COCC1)N1Sc1nc(cccc2)c2s1	
dclB@@KeRgUUhQ]jjjj`@	NCGC00256106-01	C8H14O4	174.1944	24876		0	1		0	0	0	0	0		0	0	C(COCC1OC1)OCC1OC1	
fhiQ`@JZ@HJTkjjriJ^CUUUUUT@@	NCGC00255846-01	C12H24N2O3	244.3306	22170	0	0	0	0	0	0	0	0	0	0	0	0	C(COCCN1CCOCC1)N1CCOCC1	
f`q@`@@BRfUWyWdg^hHH`@@@@	NCGC00258950-01	C14H14O2	214.2598	6706	0	0	0	0	0	1		1	0	0	0	0	C(COc1ccccc1)Oc1ccccc1	
f`q@`@@BRfUWyWdg^hHH`@@@@	NCGC00257212-01	C14H14O2	214.2598	6706	0	0	0	0	0	1	1	1	0	0	0	0	C(COc1ccccc1)Oc1ccccc1	
foAPA@BTADPBDFYWyVcNBlzfj`@haq@@	NCGC00263461-01	C11H13ClN2S	240.7523 (204.2914+36.4609)	27518	0		0										C(CS1)N(C2)C1=N[C@H]2c1ccccc1.Cl	
foAPA@BTADPBDFYWyVcNBlzfj`@haq@@	NCGC00094446-03	C11H13ClN2S	240.7523 (204.2914+36.4609)	27518		0		0		0		1	0	0	0	0	C(CS1)N(C2)C1=N[C@H]2c1ccccc1.Cl	
f`q@A@@A@`aJYU_e^R]z``b@@@@@	NCGC00258591-01	C14H14S2	246.3910	4625	0	0	0		0			1	0	0	0	0	C(CSc1ccccc1)Sc1ccccc1	
fdyPB@HNADHLkjsJ}FF\FMUURDAP@@	NCGC00183827-01	C15H21ClN2	264.7936 (228.3327+36.4609)	28758		0		0	0	1		0	0	0	0	0	C(Cc1c[nH]c2c1cccc2)C1CCNCC1.Cl	
fns``@J@BeJzkJzljRegU[UUT@EP@P@@@	NCGC00160547-02	C20H25NO2	311.4180	26222	0		1										C(Cc1ccc(COc2ccccc2)cc1)CN1CCOCC1	
fns``@J@BeJzkJzljRegU[UUT@EP@P@@@	NCGC00160547-01	C20H25NO2	311.4180	26222		0		0	0	0	0	0	0	0	0	0	C(Cc1ccc(COc2ccccc2)cc1)CN1CCOCC1	
dc\@@DjYVYayYt@@H``@	NCGC00254079-01	C12H10	154.2078	1774	0	0	0		0	0	0	0	0	0	0	0	C(Cc1ccc2)c3c1c2ccc3	
dc\@@DjYVYayYt@@H``@	NCGC00259949-01	C12H10	154.2078	1774	0	0	0	0	0	0	0	0	0	0	0	0	C(Cc1ccc2)c3c1c2ccc3	
foA`@@@IRnjriJV\@ET@@@@@	NCGC00256083-01	C14H15N	197.2756	24869	1	0		1	0	0	1	0	0	0	0	0	C(Cc1ccccc1)Cc1ccncc1	
foA`@@@YHhdbeDeQeg@PU@@@@@	NCGC00255724-01	C14H15N	197.2756	22356	0	0	0		0		0		0	0	0	0	C(Cc1ccccc1)Cc1ncccc1	
dg|@@DjU_eZx{BBH@@@@	NCGC00254724-01	C14H14	182.2610	21668	0	0	0	0	0	0	0	0	0	0	0	0	C(Cc1ccccc1)c1ccccc1	
foAP@@@NRe]UeRTlx@Jh@@@@	NCGC00256266-01	C13H14N2	198.2637	24852	0	0	0	1	0		0	0	0	0	0	0	C(Cc1ccncc1)Cc1ccncc1	
deL`@@JfRiUfnXVfjjjh@@	NCGC00094719-08	C6H12N4	140.1863	692	0		0										C(N(C1)C2)N3CN2CN1C3	
